recipe_id,ingredient_name
2870655,datterini tomatoes
2870655,unsalted butter
2870655,
2870656,shallots
2870656,coriander leaves
2870656,curry leaves
2870656,garlic
2870656,lemons
2870656,onions
2870656,lasagna pasta
2870656,thyme
2870656,tomatoes
2870656,turmeric
2870656,dried chillies
2870656,cumin seeds
2870656,black mustard seeds
2870656,chana dal
2870656,yellow split peas
2870656,Fresno chillies
2870656,
2870657,shallots
2870657,chives
2870657,fennel seeds
2870657,garlic
2870657,parsley
2870657,prawns
2870657,dry white wine
2870657,celeriac
2870657,Fresno chillies
2870657,shellfish stock
2870657,unsalted butter
2870657,
2870658,spring onions
2870658,sesame seeds
2870658,basil
2870658,feta
2870658,Gruyere cheese
2870658,heavy cream
2870658,crème fraîche
2870658,mint
2870658,parsley
2870658,apple cider vinegar
2870658,eggs
2870658,potatoes
2870658,puff pastry
2870658,pitted green olives
2870658,egg yolks
2870658,anchovies in oil
2870658,
2870659,spring onions
2870659,coriander leaves
2870659,ground cinnamon
2870659,ground cumin
2870659,dill
2870659,eggplants
2870659,garlic
2870659,lemons
2870659,red onions
2870659,parsley
2870659,sumac
2870659,turmeric
2870659,eggs
2870659,cardamom pods
2870659,pomegranate seeds
2870659,
2870660,ground allspice
2870660,cinnamon sticks
2870660,coriander seeds
2870660,garlic
2870660,lemons
2870660,red onions
2870660,parsley
2870660,chicken stock
2870660,black-eyed peas
2870660,Scotch bonnet chillies
2870660,crispy fried onions
2870660,fresh bay leaves
2870660,datterini tomatoes
2870660,
2870661,spring onions
2870661,Parmesan cheese
2870661,garlic
2870661,lemons
2870661,parsley
2870661,lima beans
2870661,chilli flakes
2870661,anchovies in oil
2870661,unsalted butter
2870661,
2870662,spring onions
2870662,chicken thighs
2870662,coriander leaves
2870662,fish sauce
2870662,fresh ginger
2870662,limes
2870662,turmeric
2870662,rice wine vinegar
2870662,clementines
2870662,chilli flakes
2870662,Fresno chillies
2870662,
2870663,asparagus
2870663,mozzarella cheese
2870663,pecorino Romano cheese
2870663,coriander leaves
2870663,coriander seeds
2870663,lemons
2870663,lasagna pasta
2870663,Greek yoghurt
2870663,egg yolks
2870663,blanched hazelnuts
2870663,
2870664,garlic
2870664,parsley
2870664,sweet potatoes
2870664,potatoes
2870664,chicken stock
2870664,Fresno chillies
2870664,oregano
2870664,
2870666,feta
2870666,pecorino Romano cheese
2870666,garlic
2870666,parsley
2870666,balsamic vinegar
2870666,za'atar
2870666,milk
2870666,instant polenta
2870666,oregano
2870666,datterini tomatoes
2870666,unsalted butter
2870666,
2870667,chickpea flour
2870667,fennel seeds
2870667,rosemary
2870667,onions
2870667,thyme
2870667,Chinkiang black rice vinegar
2870667,white miso
2870667,
2870670,coriander leaves
2870670,cucumbers
2870670,garlic
2870670,fresh ginger
2870670,red onions
2870670,paprika
2870670,tomatoes
2870670,pine nuts
2870670,olive oil
2870670,cumin seeds
2870670,Fresno chillies
2870670,red capsicums
2870670,
2870671,coriander leaves
2870671,coriander seeds
2870671,fenugreek seeds
2870671,lemons
2870671,onions
2870671,turmeric
2870671,Greek yoghurt
2870671,cumin seeds
2870671,serrano chillies
2870671,frozen peas
2870671,cardamom pods
2870671,frozen broad beans
2870671,hake fillets
2870671,
2870672,spring onions
2870672,white sesame seeds
2870672,soy sauce
2870672,Gruyère cheese
2870672,garlic
2870672,fresh ginger
2870672,limes
2870672,oranges
2870672,turmeric
2870672,cream cheese
2870672,eggs
2870672,sunflower oil
2870672,plain flour
2870672,Aleppo chilli flakes
2870672,black sesame seeds
2870672,milk
2870672,
2870673,spring onions
2870673,coconut milk
2870673,coconut oil
2870673,ground star anise
2870673,whole star anise
2870673,sunflower oil
2870673,jasmine rice
2870673,coconut chips
2870673,cardamom pods
2870673,
2870674,lemons
2870674,paprika
2870674,parsley
2870674,tomato paste
2870674,tagliatelle pasta
2870674,dried chipotle chillies
2870674,dried chickpeas
2870674,datterini tomatoes
2870674,
2870675,saffron strands
2870675,coriander seeds
2870675,dill
2870675,fennel
2870675,garlic
2870675,lemons
2870675,orzo pasta
2870675,pistachios
2870675,vegetable stock
2870675,dry white wine
2870675,
2870676,coriander leaves
2870676,cinnamon sticks
2870676,garlic
2870676,limes
2870676,whole star anise
2870676,tomato paste
2870676,olive oil
2870676,chilli flakes
2870676,celeriac
2870676,Kashmiri chilli powder
2870676,cardamom pods
2870676,
2870677,ground allspice
2870677,ground cinnamon
2870677,garlic
2870677,lemons
2870677,onions
2870677,parsley
2870677,tomato paste
2870677,Greek yoghurt
2870677,olive oil
2870677,bulgur wheat
2870677,Aleppo chilli flakes
2870677,Turkish green peppers
2870677,plum tomatoes
2870677,
2870678,sesame seeds
2870678,garlic
2870678,plain flour
2870678,instant yeast
2870678,dried chipotle chillies
2870678,sweet smoked paprika
2870678,dried black limes
2870678,
2870679,apricots
2870679,heavy cream
2870679,lemons
2870679,granulated sugar
2870679,vanilla pods
2870679,eggs
2870679,almond meal
2870679,elderflower cordial
2870679,vanilla bean paste
2870679,sliced almonds
2870679,slivered pistachio nuts
2870679,
2870680,heavy cream
2870680,rice flour
2870680,vanilla pod
2870680,basmati rice
2870680,eggs
2870680,milk
2870680,egg yolks
2870680,
2870681,cocoa powder
2870681,heavy cream
2870681,mascarpone
2870681,granulated sugar
2870681,eggs
2870681,sunflower oil
2870681,plain flour
2870681,coffee
2870681,malted milk powder
2870681,kefir
2870681,blanched hazelnuts
2870681,
2870682,heavy cream
2870682,lemons
2870682,Greek yoghurt
2870682,sugar
2870682,egg whites
2870682,
2870683,cocoa powder
2870683,heavy cream
2870683,maple syrup
2870683,tahini
2870683,instant coffee
2870683,vanilla bean paste
2870683,egg whites
2870683,roasted salted mixed nuts
2870683,
2870684,coconut milk
2870684,limes
2870684,ground star anise
2870684,pineapple
2870684,vanilla bean paste
2870684,coconut flakes
2870684,Aleppo chilli flakes
2870684,coconut water
2870684,condensed coconut milk
2870684,
2870685,cinnamon sticks
2870685,ground cinnamon
2870685,heavy cream
2870685,honey
2870685,mascarpone
2870685,oranges
2870685,granulated sugar
2870685,vanilla pods
2870685,vanilla bean paste
2870685,egg whites
2870685,fresh bay leaves
2870685,Braeburn apples
2870685,
2870686,bread flour
2870686,oranges
2870686,pistachios
2870686,eggs
2870686,plain flour
2870686,instant yeast
2870686,vanilla bean paste
2870686,cardamom pods
2870686,chocolate orange bars
2870686,
2870687,blueberries
2870687,whole wheat flour
2870687,limes
2870687,cream cheese
2870687,plain flour
2870687,vanilla bean paste
2870687,egg yolks
2870687,unsalted butter
2870687,
2870688,ground cinnamon
2870688,heavy cream
2870688,ground ginger
2870688,granulated sugar
2870688,tinned pumpkin purée
2870688,smoked paprika
2870688,rye sourdough bread
2870688,unsalted butter
2870688,Pink Lady apples
2870688,
2865574,smoked salmon
2865574,spring onions
2865574,spinach
2865574,Parmesan cheese
2865574,fresh lasagne pasta
2865574,cottage cheese
2865574,
2865575,basil
2865575,Parmesan cheese
2865575,jarred roasted red peppers
2865575,fresh lasagne pasta
2865575,red chilli
2865575,passata
2865575,thick balsamic vinegar
2865575,
2865577,Parmesan cheese
2865577,rosemary
2865577,egg
2865577,fresh lasagne pasta
2865577,button mushrooms
2865577,smoked streaky bacon
2865577,EYB Comments See recipe for a vegetarian variation.
2865579,asparagus
2865579,feta cheese
2865579,Parmesan cheese
2865579,mint
2865579,fresh lasagne pasta
2865579,frozen peas
2865579,frozen edamame
2865579,
2865580,pork sausages
2865580,Parmesan cheese
2865580,fennel seeds
2865580,flat-leaf parsley
2865580,Chianti wine
2865580,fresh lasagne pasta
2865580,passata
2865580,"EYB Comments Can substitute vegetarian sausages for pork sausages, and other Italian red wine for Chianti wine."
2865581,rocket
2865581,Parmesan cheese
2865581,garlic
2865581,thyme
2865581,walnut halves
2865581,fresh lasagne pasta
2865581,cottage cheese
2865581,oyster mushrooms
2865581,
2865582,Parmesan cheese
2865582,dried oregano
2865582,jarred roasted red peppers
2865582,fresh lasagna pasta
2865582,smoked almonds
2865582,
2865583,basil
2865583,Parmesan cheese
2865583,fresh lasagna pasta
2865583,king prawns
2865583,artichoke hearts in oil
2865583,
2865584,sage
2865584,Parmesan cheese
2865584,fresh lasagne pasta
2865584,smoked pancetta
2865584,mixed cherry tomatoes
2865584,tinned borlotti beans
2865584,
2865586,Parmesan cheese
2865586,dried chilli flakes
2865586,fresh lasagne pasta
2865586,flaked almonds
2865586,tenderstem broccoli
2865586,anchovy fillets in oil
2865586,
2865588,mussels
2865588,flat-leaf parsley
2865588,cherry tomatoes
2865588,dried chilli flakes
2865588,fresh lasagne pasta
2865588,pecorino cheese
2865588,tinned white beans
2865588,
2865589,cinnamon sticks
2865589,rosemary
2865589,butternut squash
2865589,fresh lasagne pasta
2865589,red chilli
2865589,red Leicester cheese
2865589,jarred chickpeas
2865589,
2865590,Parmesan cheese
2865590,red onion
2865590,flat-leaf parsley
2865590,fresh lasagne pasta
2865590,red chilli
2865590,frozen sweetcorn
2865590,tinned tuna in oil
2865590,
2865591,sage
2865591,pork sausages
2865591,Parmesan cheese
2865591,red onion
2865591,fresh lasagne pasta
2865591,smoked streaky bacon
2865591,vacuum-packed chestnuts
2865591,whole nutmeg
2865591,
2865593,asparagus
2865593,Parmesan cheese
2865593,black olives
2865593,potato gnocchi
2865593,baby spinach
2865593,blanched hazelnuts
2865593,tinned plum tomatoes
2865593,
2865594,lemon
2865594,walnut halves
2865594,pears
2865594,radishes
2865594,blue cheese
2865594,portobello mushrooms
2865594,"watercress, spinach, and rocket mix"
2865594,cooked basmati and wild rice mix
2865594,
2865596,spinach
2865596,mozzarella cheese
2865596,Parmesan cheese
2865596,garlic
2865596,pine nuts
2865596,cannelloni tubes
2865596,chargrilled aubergines
2865596,tinned plum tomatoes
2865596,EYB Comments Recipe calls for jarred chargrilled aubergines.
2865597,feta cheese
2865597,couscous
2865597,garlic
2865597,mint
2865597,green olives
2865597,red onions
2865597,sumac
2865597,blanched hazelnuts
2865597,
2865599,Parmesan cheese
2865599,rosemary
2865599,garlic
2865599,red onions
2865599,butternut squash
2865599,sourdough bread
2865599,vegetable stock cube
2865599,tinned borlotti beans
2865599,EYB Comments Can substitute chicken stock cube for vegetable stock cube.
2865600,broccoli
2865600,garlic
2865600,pasta shells
2865600,cheddar cheese
2865600,dried chilli flakes
2865600,garlic bread
2865600,baby spinach
2865600,semi-skimmed milk
2865600,EYB Comments See recipe for variations.
2865601,spring onions
2865601,limes
2865601,natural yoghurt
2865601,self-raising flour
2865601,mango chutney
2865601,desiccated coconut
2865601,coriander sprigs
2865601,mixed mushrooms
2865601,
2865603,red peppers
2865603,feta cheese
2865603,red onions
2865603,basmati rice
2865603,sun-dried tomato paste
2865603,tinned kidney beans
2865603,"watercress, spinach, and rocket mix"
2865603,fresh bay leaves
2865603,
2865606,red cabbage
2865606,celery
2865606,goat cheese
2865606,walnut halves
2865606,eating apples
2865606,wholegrain mustard
2865606,seedless red grapes
