recipe_id,category_name
2866081,Main course
2866082,Quick / easy
2866082,Stews & one-pot meals
2866082,Main course
2866084,"Pasta, doughs & sauces"
2866084,Quick / easy
2866084,Stews & one-pot meals
2866084,Main course
2866086,Quick / easy
2866086,Main course
2866087,Egg dishes
2866087,Quick / easy
2866087,Soups
2866087,Asian
2866091,Quick / easy
2866091,Rice dishes
2866091,Stews & one-pot meals
2866091,Indian
2866091,Main course
2866092,Cooking for 1 or 2
2866092,Quick / easy
2866092,Main course
2866096,Vegetarian
2866096,Cooking ahead
2866096,Cooking for a crowd
2866096,Chili
2866096,Quick / easy
2866096,Main course
2866099,Vegetarian
2866099,Quick / easy
2866099,Appetizers / starters
2866102,Vegetarian
2866102,Cooking for 1 or 2
2866102,Quick / easy
2866102,Sandwiches & burgers
2866102,Mexican
2866102,Main course
2866106,Vegetarian
2866106,Quick / easy
2866106,Soups
2866106,Main course
2866109,Vegetarian
2866109,Salads
2866109,Quick / easy
2866109,Main course
2866111,Vegetarian
2866111,Quick / easy
2866111,Sandwiches & burgers
2866111,Main course
2866113,Vegetarian
2866113,Quick / easy
2866113,Main course
2866117,Cooking ahead
2866117,Cooking for a crowd
2866117,"Pasta, doughs & sauces"
2866117,Quick / easy
2866117,Italian
2866119,"Pasta, doughs & sauces"
2866119,Quick / easy
2866119,Italian
2866119,Main course
2866120,"Pasta, baked"
2866120,Quick / easy
2866120,Italian
2866120,Main course
2866122,Quick / easy
2866122,Sandwiches & burgers
2866122,American
2866122,Main course
2866123,Quick / easy
2866123,Stews & one-pot meals
2866123,Main course
2866126,Vegan
2866126,Vegetarian
2866126,Cooking ahead
2866126,Cooking for a crowd
2866126,Quick / easy
2866126,Stews & one-pot meals
2866126,Main course
2866128,Stews & one-pot meals
2866128,Quick / easy
2866128,Main course
2866129,Vegetarian
2866129,Quick / easy
2866129,Soups
2866131,Vegetarian
2866131,Egg dishes
2866131,Quick / easy
2866131,Stews & one-pot meals
2866131,Main course
2866132,Vegetarian
2866132,Quick / easy
2866132,Sandwiches & burgers
2866132,Main course
2866134,Cooking ahead
2866134,Cooking for a crowd
2866134,Quick / easy
2866134,Stews & one-pot meals
2866134,Main course
2866136,Quick / easy
2866136,Sandwiches & burgers
2866136,Main course
2866137,"Pasta, doughs & sauces"
2866137,Quick / easy
2866137,Main course
2866140,Egg dishes
2866140,Quick / easy
2866140,Rice dishes
2866140,Main course
2866141,Quick / easy
2866141,Main course
2866143,Egg dishes
2866143,Quick / easy
2866143,American
2866143,Main course
2866144,Pizza & calzones
2866144,Quick / easy
2866144,Main course
2866147,Vegan
2866147,Vegetarian
2866147,Cooking ahead
2866147,Cooking for a crowd
2866147,Quick / easy
2866147,Stews & one-pot meals
2866147,Main course
2866148,Vegetarian
2866148,Curry
2866148,Quick / easy
2866148,Main course
2866150,Vegetarian
2866150,Quick / easy
2866150,Sandwiches & burgers
2866150,Main course
2866153,Quick / easy
2866153,Stews & one-pot meals
2866153,Spanish
2866153,Main course
2866154,Vegetarian
2866154,Quick / easy
2866154,Stews & one-pot meals
2866154,Spanish
2866154,Main course
2866155,Cooking for a crowd
2866155,Entertaining & parties
2866155,"Cakes, large"
2866155,Quick / easy
2866155,Dessert
2866157,Baked & steamed desserts
2866157,Quick / easy
2866157,Dessert
2866159,Baked & steamed desserts
2866159,Quick / easy
2866159,Dessert
2866161,Cheesecakes
2866161,Quick / easy
2866161,Dessert
2866163,Baked & steamed desserts
2866163,Quick / easy
2866163,Dessert
2866164,"Cakes, large"
2866164,Quick / easy
2866164,Greek
2866164,Dessert
2866167,"Cakes, large"
2866167,Quick / easy
2866167,Dessert
2866170,Baked & steamed desserts
2866170,Quick / easy
2866170,Rice dishes
2866170,Dessert
2866508,"Cakes, large"
2866508,Quick / easy
2866508,Afternoon tea
2866509,Frostings & fillings
2866509,"Bread & buns, sweet"
2866509,Quick / easy
2866509,Afternoon tea
2866510,"Pies, tarts & pastries"
2866510,Quick / easy
2866510,Dessert
2866512,Frostings & fillings
2866512,"Cakes, large"
2866512,Quick / easy
2866512,Dessert
2866513,"Brownies, slices & bars"
2866513,Quick / easy
2866513,Dessert
2866514,Ice cream & frozen desserts
2866514,Quick / easy
2866514,Dessert
2866515,"Bread & buns, sweet"
2866515,Quick / easy
2866515,Afternoon tea
2809686,Vegan
2809686,Vegetarian
2809686,"Dips, spreads & salsas"
2809686,"Sauces, general"
2809686,Quick / easy
2809686,Middle Eastern
2809688,Vegetarian
2809688,Quick / easy
2809688,"Sauces, general"
2809688,Middle Eastern
2809688,"Small plates - tapas, meze"
2809688,Snacks
2809690,Quick / easy
2809690,Salads
2809690,Middle Eastern
2809690,Lunch
2809690,"Small plates - tapas, meze"
2809690,Side dish
2809691,Vegetarian
2809691,"Pies, tarts & pastries"
2809691,Quick / easy
2809691,Middle Eastern
2809691,"Small plates - tapas, meze"
2813037,"Pies, tarts & pastries"
2813037,Quick / easy
2813037,Middle Eastern
2813037,Dessert
2810066,Vegetarian
2810066,"Pies, tarts & pastries"
2810066,Quick / easy
2810066,Greek
2810066,"Small plates - tapas, meze"
2810069,"Pies, tarts & pastries"
2810069,Quick / easy
2810069,Turkish
2810069,"Small plates - tapas, meze"
2810071,Vegetarian
2810071,Quick / easy
2810071,"Pies, tarts & pastries"
2810071,Mediterranean
2810071,"Small plates - tapas, meze"
2810072,"Dips, spreads & salsas"
2810072,Quick / easy
2810072,Middle Eastern
2810072,"Small plates - tapas, meze"
2810073,Vegan
2810073,Vegetarian
2810073,Soups
2810073,Quick / easy
2810073,Middle Eastern
2810326,Vegan
2810326,Vegetarian
2810326,Quick / easy
2810326,Soups
2810326,Middle Eastern
2810328,Salads
2810328,Quick / easy
2810328,Middle Eastern
2810328,Side dish
2810328,"Small plates - tapas, meze"
2810329,Vegetarian
2810329,Quick / easy
2810329,Middle Eastern
2810329,"Small plates - tapas, meze"
2810331,Cooking for 1 or 2
2810331,Quick / easy
2810331,Middle Eastern
2810331,Breakfast / brunch
2810331,"Small plates - tapas, meze"
2810332,Vegetarian
2810332,Salads
2810332,Quick / easy
2810332,Middle Eastern
2810332,Side dish
2810338,Dressings & marinades
2810338,Salads
2810338,Quick / easy
2810338,Middle Eastern
2810338,Main course
2810339,Vegetarian
2810339,Dressings & marinades
2810339,Quick / easy
2810339,Salads
2810339,Middle Eastern
2810339,Main course
2810339,"Small plates - tapas, meze"
2810340,Cooking for 1 or 2
2810340,Dressings & marinades
2810340,Salads
2810340,Quick / easy
2810340,Middle Eastern
2810340,Main course
2810341,Vegetarian
2810341,Dressings & marinades
2810341,Quick / easy
2810341,Salads
2810341,Middle Eastern
2810341,Side dish
2810343,Vegetarian
2810343,Dressings & marinades
2810343,Salads
2810343,Quick / easy
2810343,Middle Eastern
2810343,Side dish
2810344,Vegan
2810344,Vegetarian
2810344,Salads
2810344,Quick / easy
2810344,Georgian
2810344,Side dish
2810345,Vegan
2810345,Vegetarian
2810345,Dressings & marinades
2810345,Salads
2810345,Quick / easy
2810345,Middle Eastern
2810345,Side dish
2811026,Dressings & marinades
2811026,Quick / easy
2811026,Middle Eastern
2811026,Main course
2811027,Cooking ahead
2811027,Quick / easy
2811027,Middle Eastern
2811027,Main course
2811028,Dressings & marinades
2811028,Quick / easy
2811028,Middle Eastern
2811028,Main course
2811031,Rice dishes
2811031,Stews & one-pot meals
2811031,Quick / easy
2811031,Middle Eastern
2811031,Main course
2811032,Cooking for 1 or 2
2811032,Quick / easy
2811032,Middle Eastern
2811032,Main course
2811033,Cooking for 1 or 2
2811033,Quick / easy
2811033,Middle Eastern
2811033,Main course
2811035,Cooking for 1 or 2
2811035,Quick / easy
2811035,Middle Eastern
2811035,Main course
2811038,Dressings & marinades
2811038,Quick / easy
2811038,Middle Eastern
2811038,Main course
2811039,Stews & one-pot meals
2811039,Quick / easy
2811039,Turkish
2811039,Main course
2811515,Dressings & marinades
2811515,Quick / easy
2811515,Middle Eastern
2811515,Main course
2811516,Quick / easy
2811516,Middle Eastern
2811516,Main course
2811518,Quick / easy
2811518,Stir-fries
2811518,Thai
2811518,Main course
2811519,Quick / easy
2811519,Middle Eastern
2811519,Main course
2811520,Quick / easy
2811520,Middle Eastern
2811520,Main course
2811522,Dressings & marinades
2811522,Quick / easy
2811522,Middle Eastern
2811522,Main course
2811535,Quick / easy
2811535,Middle Eastern
2811535,Main course
2811536,Quick / easy
2811536,Stews & one-pot meals
2811536,Middle Eastern
2811536,Main course
2811537,Stews & one-pot meals
2811537,Quick / easy
2811537,Greek
2811537,Main course
2811538,Quick / easy
2811538,"Dips, spreads & salsas"
2811538,Cypriot
2811538,Middle Eastern
2811538,Main course
2811539,Quick / easy
2811539,Stews & one-pot meals
2811539,Middle Eastern
2811539,Russian
2811539,Main course
2811540,Stews & one-pot meals
2811540,Dressings & marinades
2811540,Quick / easy
2811540,Middle Eastern
2811540,Main course
2811542,Quick / easy
2811542,Middle Eastern
2811542,Main course
2811543,"Pasta, baked"
2811543,Quick / easy
2811543,Middle Eastern
2811543,Main course
2811544,Dressings & marinades
2811544,Quick / easy
2811544,Middle Eastern
2811544,Main course
2811545,Quick / easy
2811545,Sandwiches & burgers
2811545,American
2811545,Indian
2811545,Main course
2811546,Cooking ahead
2811546,Quick / easy
2811546,Stews & one-pot meals
2811546,Persian
2811546,Main course
2811547,Quick / easy
2811547,Middle Eastern
2811547,Main course
2811548,Dressings & marinades
2811548,Grills & BBQ
2811548,Quick / easy
2811548,Middle Eastern
2811548,Main course
2811549,Cooking ahead
2811549,Quick / easy
2811549,Stews & one-pot meals
2811549,Middle Eastern
2811549,Main course
2811550,Cooking for 1 or 2
2811550,Quick / easy
2811550,Rice dishes
2811550,Middle Eastern
2811550,Main course
2811551,Cooking for 1 or 2
2811551,Quick / easy
2811551,Middle Eastern
2811551,Main course
2811552,Spice / herb blends & rubs
2811552,Middle Eastern
2811552,Main course
2811553,Cooking for 1 or 2
2811553,Quick / easy
2811553,Stews & one-pot meals
2811553,Middle Eastern
2811553,Main course
2811554,Cooking for 1 or 2
2811554,Dressings & marinades
2811554,Quick / easy
2811554,Middle Eastern
2811554,Main course
2811555,Quick / easy
2811555,"Dips, spreads & salsas"
2811555,Middle Eastern
2811555,Main course
2811556,Cooking for 1 or 2
2811556,Quick / easy
2811556,Middle Eastern
2811556,Main course
2811557,Cooking for 1 or 2
2811557,Dressings & marinades
2811557,Quick / easy
2811557,Middle Eastern
2811557,Main course
2811558,Vegan
2811558,Vegetarian
2811558,Quick / easy
2811558,Soups
2811558,Persian
2811559,Vegetarian
2811559,Quick / easy
2811559,Soups
2811559,Middle Eastern
2811559,Side dish
2811560,Vegan
2811560,Vegetarian
2811560,Quick / easy
2811560,Middle Eastern
2811560,Side dish
2811571,Vegan
2811571,Vegetarian
2811571,Quick / easy
2811571,Middle Eastern
2811571,Side dish
2811572,Vegan
2811572,Vegetarian
2811572,Quick / easy
2811572,Middle Eastern
2811572,Side dish
2811573,Vegan
2811573,Vegetarian
2811573,Quick / easy
2811573,Middle Eastern
2811573,Side dish
2811574,Vegetarian
2811574,Quick / easy
2811574,Indian
2811574,Side dish
2811575,Vegetarian
2811575,"Dips, spreads & salsas"
